20.252317123	64240
20.252695773	64256
20.823552086	64256
20.823552196	63872
20.823568612	61056
20.823611204	64128
20.823674209	64128
20.823674319	64128
20.823730099	63360
20.823767700	64128
20.823787122	64128
20.823831518	64128
20.823831648	64128
20.823885815	64128
20.823902380	64128
20.823947768	64128
20.823967370	63360
20.823967430	62592
20.824000071	63360
20.824080914	61824
20.824094262	64128
20.824148910	64128
20.824173233	64128
20.824197405	67072
20.824197465	69888
20.824207476	72832
20.824243985	78336
20.824273588	84224
20.824299634	87040
20.824299695	89984
20.824334520	95744
20.824363142	98688
20.824363202	104448
20.824404550	110208
20.824436569	115968
20.824470904	121856
20.824494174	124672
20.824494224	130560
20.824537537	133376
20.824561027	136320
20.824561087	142080
20.824606845	147968
20.824633002	153728
20.824661814	156672
20.824661864	159616
20.824692590	162432
20.824705839	165376
20.824711941	168320
20.824733428	171136
20.824765768	174080
20.824765818	176896
20.824788537	179840
20.824801785	182784
20.824815765	185600
20.824815825	188544
20.824860912	191488
20.824866905	194304
20.824877428	197248
20.824908113	200064
20.824926123	203008
20.824957229	208768
20.824968424	211712
20.824994279	214656
20.825009482	217472
20.825045811	220416
20.825063739	223232
20.825101150	229120
20.829195769	232064
20.829196240	237824
20.829196310	254592
20.830127894	231552
20.832270484	231552
20.832904869	217856
20.833628906	185472
20.833847186	159488
20.834799936	106880
20.834885661	115968
20.835706786	72064
20.836916912	29824
20.837101080	36352
20.837515432	768
20.837801718	27008
20.853865957	0
20.853866468	22528
20.862944932	0
20.885457669	31616
20.917349349	128
20.917349679	26368
20.933597058	0
20.935988863	24192
20.937266749	1408
20.954197587	29440
20.954945098	0
20.957328772	29440
20.972230746	0
20.982123445	25728
20.988144521	640
21.016605752	24320
21.017371635	0
21.018850338	24064
21.019233145	640
21.021122782	24064
21.025889105	0
21.052059321	23296
21.052951591	0
21.104062659	23296
21.123035102	1152
21.123035312	24064
21.139442170	23552
21.154316895	22528
21.172333688	23552
21.189940719	0
21.189940829	23296
21.201733051	0
21.201733121	20224
21.218627099	512
21.238510295	27008
21.242023823	0
21.243313532	27008
21.243707917	512
21.245300559	24064
21.260815506	0
21.278589208	23296
21.289619652	0
21.304799963	30976
21.305808011	256
21.305808231	25728
21.326218030	0
21.348171213	28544
21.358876980	768
21.378534581	28672
21.384860432	0
21.385771005	27136
21.387857549	0
21.399195018	25472
21.399576544	256
21.401389320	24064
21.433930492	0
21.441509733	24064
21.441966182	384
21.444928535	24064
21.445292715	0
21.466722147	23552
21.472683323	0
21.472983619	23296
21.473927546	1408
21.509145428	24064
21.532925542	0
21.532926163	23296
21.553937468	0
21.564286447	22784
21.564698091	640
21.575202354	23552
21.575959416	0
21.576695953	21248
21.577172052	0
21.589496461	24960
21.590760829	256
21.592827700	25728
21.593152188	0
21.622439529	24832
21.622822745	0
21.624350509	23680
21.624806386	512
21.681580199	20864
21.681953043	0
21.715769948	30848
21.716545564	1152
21.754598786	30720
21.756103952	0
21.756540031	29184
21.756911172	640
21.782707337	27264
21.783209840	0
21.784515030	26496
21.784769370	0
21.827655091	24832
21.828432349	512
21.829915848	24832
21.853312785	0
21.868562197	23424
21.882196164	0
21.891605018	23680
21.899340563	1024
21.900662889	23680
21.900998570	0
21.925320855	23424
21.927365425	768
21.941045377	24704
21.955137407	0
21.963286369	22784
21.963725305	0
21.966198903	23552
21.977047714	128
21.995444408	22016
22.004894837	0
22.020295356	24192
